#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
1,Tarik Skubal,DET,14,7,0,32,32,200,11,1.81,0.85,0.287,77.50%,,2.67,2.62,6.3
2,Garrett Crochet,BOS,15,8,0,32,32,197,11.18,2.36,0.89,0.3,77.50%,,2.9,2.81,5.8
3,Paul Skenes,PIT,13,8,0,32,32,189,10.62,2.35,0.81,0.291,76.90%,,2.84,2.82,5.4
4,Cristopher Sánchez,PHI,12,8,0,32,32,200,8.69,2.21,0.8,0.298,74.30%,,3.21,3.2,4.8
5,Logan Webb,SFG,14,9,0,32,32,202,8.5,2.01,0.71,0.303,73.60%,,3.18,3.03,4.5
6,Cole Ragans,KCR,11,8,0,29,29,163,11.15,3.2,0.96,0.292,74.20%,,3.4,3.19,4.1
7,Chris Sale,ATL,12,6,0,28,28,165,10.9,2.41,0.95,0.298,76.00%,,3.15,3.06,4
8,Max Fried,NYY,14,9,0,31,31,189,8.37,2.58,0.81,0.288,73.70%,,3.32,3.42,3.9
9,Hunter Brown,HOU,13,8,0,31,31,183,9.67,2.96,0.94,0.29,75.20%,,3.34,3.44,3.8
10,Sonny Gray,BOS,12,10,0,31,31,178,9.38,2.39,1.08,0.304,73.30%,,3.72,3.49,3.7
11,Jacob deGrom,TEX,11,8,0,29,29,169,10.03,2.11,1.23,0.282,74.20%,,3.5,3.45,3.7
12,Dylan Cease,TOR,12,9,0,31,31,173,10.53,3.39,1.05,0.287,74.70%,,3.57,3.53,3.7
13,Framber Valdez,DET,13,10,0,31,31,195,8.33,2.98,0.78,0.295,73.80%,,3.41,3.53,3.6
14,Yoshinobu Yamamoto,LAD,12,7,0,26,26,155,9.54,2.52,0.97,0.283,73.10%,,3.38,3.35,3.6
15,Bryan Woo,SEA,13,10,0,32,32,195,9.09,1.96,1.16,0.279,73.70%,,3.46,3.57,3.5
16,Zack Wheeler,PHI,11,7,0,26,26,157,9.81,2.36,1.01,0.287,74.40%,,3.31,3.33,3.5
17,Jesús Luzardo,PHI,12,10,0,31,31,179,9.94,2.8,1.17,0.291,73.00%,,3.78,3.63,3.5
18,Ranger Suarez,BOS,12,9,0,29,29,169,7.94,2.6,0.89,0.302,73.50%,,3.61,3.61,3.4
19,George Kirby,SEA,12,9,0,31,31,173,8.83,1.68,1.08,0.291,72.70%,,3.52,3.41,3.3
20,Joe Ryan,MIN,11,10,0,29,29,167,9.83,2.14,1.31,0.286,72.90%,,3.79,3.72,3.1
21,Shane McClanahan,TBR,9,7,0,24,24,139,9.73,2.54,1.04,0.289,75.60%,,3.33,3.39,3.1
22,Aaron Nola,PHI,11,10,0,31,31,180,8.86,2.26,1.3,0.294,71.20%,,4.12,3.89,3.1
23,Logan Gilbert,SEA,10,7,0,29,29,163,9.83,2.14,1.15,0.282,74.60%,,3.41,3.43,3.1
24,Kevin Gausman,TOR,12,10,0,31,31,182,8.76,2.6,1.19,0.291,73.20%,,3.88,3.83,3
25,Nathan Eovaldi,TEX,10,10,0,29,29,173,8.5,2.34,1.12,0.289,72.10%,,3.78,3.76,2.9
26,Brandon Woodruff,MIL,10,8,0,28,28,151,9.53,2.43,1.26,0.285,73.90%,,3.74,3.78,2.9
27,Michael King,SDP,10,9,0,29,29,161,9.47,3.26,1.12,0.288,74.90%,,3.68,3.87,2.9
28,Kyle Bradish,BAL,8,7,0,26,26,137,9.52,2.85,0.99,0.295,73.30%,,3.62,3.54,2.9
29,MacKenzie Gore,TEX,11,9,0,29,29,160,10.25,3.36,1.1,0.293,73.30%,,3.82,3.71,2.9
30,Drew Rasmussen,TBR,10,8,0,31,31,160,8.08,2.34,1.04,0.288,72.90%,,3.64,3.72,2.9
31,José Soriano,LAA,11,10,0,31,31,176,8.39,3.91,0.76,0.301,71.70%,,3.86,3.84,2.9
32,Spencer Strider,ATL,11,9,0,28,28,159,10.62,3.13,1.15,0.294,72.60%,,3.85,3.62,2.8
33,Sandy Alcantara,MIA,11,11,0,31,31,188,7.47,2.59,1.01,0.292,69.70%,,4.08,3.92,2.7
34,Blake Snell,LAD,10,6,0,24,24,132,11.18,4,1.03,0.289,75.50%,,3.55,3.54,2.7
35,Andrew Abbott,CIN,9,9,0,29,29,166,8.17,2.76,1.34,0.288,72.80%,,4.17,4.26,2.7
36,Freddy Peralta,NYM,11,9,0,29,29,162,9.83,3.37,1.19,0.279,73.40%,,3.83,3.93,2.6
37,Tyler Glasnow,LAD,8,6,0,24,24,133,10.5,3.32,1.13,0.289,73.60%,,3.68,3.59,2.6
38,Nick Pivetta,SDP,10,10,0,29,29,173,9.86,2.72,1.42,0.28,74.10%,,3.92,3.98,2.6
39,Tanner Bibee,CLE,11,11,0,31,31,182,8.42,2.68,1.21,0.287,73.10%,,3.91,4.04,2.5
40,Kris Bubic,KCR,10,8,0,34,24,145,8.71,3.05,0.97,0.298,73.60%,,3.75,3.71,2.5
41,Jack Flaherty,DET,11,10,0,29,29,160,9.87,3.27,1.19,0.294,72.70%,,4.01,3.89,2.5
42,Matthew Boyd,CHC,11,9,0,29,29,167,8.01,2.62,1.17,0.285,72.70%,,3.89,4.04,2.4
43,Nick Lodolo,CIN,9,9,0,28,28,153,9.17,2.48,1.25,0.293,70.20%,,4.13,4.04,2.4
44,Brady Singer,CIN,10,12,0,31,31,171,8.53,2.89,1.31,0.295,70.80%,,4.38,4.28,2.4
45,Mitch Keller,PIT,10,11,0,31,31,175,7.8,2.71,1.11,0.298,70.60%,,4.19,4.09,2.3
46,Luis Castillo,SEA,11,10,0,31,31,179,8.39,2.54,1.23,0.284,73.50%,,3.82,4,2.3
47,Yusei Kikuchi,LAA,9,10,0,31,31,169,9.21,3.32,1.33,0.303,73.80%,,4.21,4.21,2.3
48,Shohei Ohtani,LAD,8,5,0,23,23,116,10.71,3.12,1.18,0.278,74.60%,,3.51,3.65,2.3
49,Carlos Rodón,NYY,11,9,0,28,28,155,9.45,3.27,1.2,0.283,72.20%,,4,3.98,2.3
50,Emmet Sheehan,LAD,9,7,0,42,24,143,10.22,3.16,1.29,0.283,72.80%,,3.97,3.91,2.3
51,Ryan Pepiot,TBR,11,11,0,31,31,169,9.21,3.23,1.3,0.28,72.70%,,4.05,4.19,2.3
52,Chase Burns,CIN,7,6,0,27,19,107,10.39,2.63,1.22,0.29,73.30%,,3.74,3.51,2.3
53,David Peterson,NYM,9,8,0,29,29,163,8.08,3.52,0.86,0.298,72.70%,,3.85,3.9,2.3
54,Eury Pérez,MIA,8,9,0,28,28,135,9.65,3.09,1.26,0.282,71.70%,,4.04,3.93,2.3
55,Joe Musgrove,SDP,9,9,0,28,28,158,8.28,2.34,1.16,0.292,72.30%,,3.89,3.99,2.3
56,Steven Matz,TBR,7,7,0,35,23,136,7.98,2.45,1.14,0.298,73.00%,,3.95,3.93,2.2
